"","syntax","text","order","preposition","mainform","mainfunc","subform","subfunc","transitivity","vendler","context"
"83","adverbial","historic","after","heb","Verb","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"84","adverbial","narrative","after","heb","PP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"85","adverbial","historic","after",NA,"NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"86","adverbial","historic","after","heb","Pro","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"87","adverbial","historic","after","heb","PP","S/A","implizit","S/A","transitive","state","S/A=S/A(UP)implicit"
"88","adverbial","historic","after","gan","Posspro","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"89","adverbial","historic","after","gan","Verb","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"90","adverbial","historic","after",NA,"NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"91","adverbial","narrative","after","gan","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"92","adverbial","historic","after","gan","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"93","adverbial","historic","after",NA,"Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"94","adverbial","narrative","after","heb","Verb","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"95","adverbial","historic","after","gan","Pro","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"96","adverbial","historic","after","yn","NP","S/A","implizit","S/A","either","activity","S/A=S/A(UP)implicit"
"97","adverbial","historic","after",NA,"Verb","S/A","implizit","S/A","either","activity","S/A=S/A(UP)implicit"
"98","adverbial","historic","after","o","Verb","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"99","adverbial","historic","after","heb","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"100","adverbial","historic","after","heb","implizit","S/A","implizit","S/A","intransitive","activity","S/Aimplicit=S/A(UP)implicit"
"101","adverbial","historic","after","gan","implizit","S/A","implizit","S/A","transitive","achievement","S/Aimplicit=S/A(UP)implicit"
"102","adverbial","historic","after","gan","implizit","S/A","implizit","S/A","transitive","accomplishment","S/Aimplicit=S/A(UP)implicit"
"103","adverbial","historic","after","gan","implizit","S/A","implizit","S/A","either","achievement","S/Aimplicit=S/A(UP)implicit"
"104","adverbial","narrative","after","y","implizit","S/A","implizit","S/A","transitive","activity","S/Aimplicit=S/A(UP)implicit"
"105","adverbial","historic","before","gan",NA,NA,NA,NA,"intransitive","activity",NA
"106","adverbial","narrative","before","wrth","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"107","adverbial","historic","before","y","Pro","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"108","adverbial","historic","before","yn","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"109","adverbial","historic","before","yn","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
